title,video_id,published_at,thumbnail_url,duration,views,likes,comments,engagement_rate,avg_view_duration_seconds,avg_view_duration,retention_rate
How To Build & Sell APIs Without Coding (Full Guide),ZaJURMrXtmc,2025-02-28 15:23:33,https://i.ytimg.com/vi/ZaJURMrXtmc/maxresdefault.jpg,22:57,18857,868,69,4.97,248,4:08,18.01
How To Build & Sell Simple AI Agents - Step by Step,4y9ss33QWTY,2025-02-20 16:00:04,https://i.ytimg.com/vi/4y9ss33QWTY/maxresdefault.jpg,21:04,177472,6339,270,3.72,222,3:42,17.56
3 Skills To Survive in the AI ERA!,zp0GqmvlwnQ,2025-02-12 13:48:54,https://i.ytimg.com/vi/zp0GqmvlwnQ/maxresdefault.jpg,10:17,11656,516,62,4.96,175,2:55,28.36
Not Getting Traffic to your website? Try This in 2025!,Ik89FPGSC8A,2025-01-31 12:50:37,https://i.ytimg.com/vi/Ik89FPGSC8A/maxresdefault.jpg,10:45,13365,518,49,4.24,170,2:50,26.36
This Free Automated System Will EXPLODE Your Website Traffic!,cxGRFvW5Jr4,2025-01-08 13:08:03,https://i.ytimg.com/vi/cxGRFvW5Jr4/maxresdefault.jpg,15:13,14034,546,35,4.14,243,4:03,26.62
5 New Online Business Ideas for 2025 You Can Start for Free,dQ9r-v1Y0zI,2024-12-27 14:21:57,https://i.ytimg.com/vi/dQ9r-v1Y0zI/maxresdefault.jpg,13:27,34371,1246,69,3.83,202,3:22,25.03
How to Make your First $1000 Online with Zero Budget - Step by Step!,Ut08wTDsDkw,2024-11-30 13:18:46,https://i.ytimg.com/vi/Ut08wTDsDkw/maxresdefault.jpg,13:18,33066,1258,89,4.07,257,4:17,32.21
Build & Sell AI Chatbots Without Coding | Beginner's Guide 2025,jKXbm1zN4wk,2024-11-25 12:54:55,https://i.ytimg.com/vi/jKXbm1zN4wk/maxresdefault.jpg,24:31,16471,602,46,3.93,379,6:19,25.76
How To Create Killer Viral Content With AI - NOT ChatGPT!,3Zak4x9mZag,2024-11-17 11:26:35,https://i.ytimg.com/vi/3Zak4x9mZag/maxresdefault.jpg,14:50,22437,814,79,3.98,220,3:40,24.72
Affiliate Marketing With AI (Not For Beginners),4M58OEHGsmU,2024-10-29 12:43:30,https://i.ytimg.com/vi/4M58OEHGsmU/maxresdefault.jpg,9:24,17707,649,56,3.98,163,2:43,28.9
New Simple System To Make Money Online in 2024 (No Bs),r3Kw3d7sp7E,2024-10-22 12:16:40,https://i.ytimg.com/vi/r3Kw3d7sp7E/maxresdefault.jpg,13:29,53796,1687,130,3.38,230,3:50,28.43
No One Will Share This AI SEO Tool For Free - But I Will 😱,LJHnzsmX1-o,2024-10-03 13:47:50,https://i.ytimg.com/vi/LJHnzsmX1-o/maxresdefault.jpg,12:00,32470,1528,128,5.1,161,2:41,22.36
Get More Traffic Without Creating New Content!,Zym2iDvArWw,2024-09-24 14:32:15,https://i.ytimg.com/vi/Zym2iDvArWw/maxresdefault.jpg,13:46,20865,766,59,3.95,198,3:18,23.97
I Found a New Way To Make Money With WordPress!,cfNZ_3HevPM,2024-08-30 12:37:14,https://i.ytimg.com/vi/cfNZ_3HevPM/maxresdefault.jpg,17:01,32250,1092,119,3.76,232,3:52,22.72
The Fastest Way To Get Traffic To Any Website ( Free Tool ),jg-9KvKHEGg,2024-08-27 13:24:54,https://i.ytimg.com/vi/jg-9KvKHEGg/maxresdefault.jpg,14:55,108998,2914,216,2.87,156,2:36,17.43
The Real Way To Make Money With AI & Automation (No BS),M0n4dxhpVm4,2024-08-22 14:24:54,https://i.ytimg.com/vi/M0n4dxhpVm4/maxresdefault.jpg,17:56,33215,1347,103,4.37,236,3:56,21.93
SEO Experts hate me for sharing this Secret for free!,jGNpo04JwfQ,2024-07-30 13:19:38,https://i.ytimg.com/vi/jGNpo04JwfQ/maxresdefault.jpg,10:38,31736,1088,196,4.05,196,3:16,30.72
No One Will Share This AI Marketing Tool For Free!,yVdz_GgyGaI,2024-07-25 15:14:46,https://i.ytimg.com/vi/yVdz_GgyGaI/maxresdefault.jpg,19:35,41646,1669,557,5.35,376,6:16,32.0
"I built 10 AI Tools, and am giving it for free!",FukaIPVpmnA,2024-06-28 11:43:31,https://i.ytimg.com/vi/FukaIPVpmnA/maxresdefault.jpg,24:32,44337,1624,322,4.39,376,6:16,25.54
How I Grow Any Website from Zero to 100K Visitors!,DAmL-b_c85c,2024-06-25 13:07:05,https://i.ytimg.com/vi/DAmL-b_c85c/maxresdefault.jpg,12:58,20315,774,48,4.05,216,3:36,27.76
Create Viral Content With this Automated System,jWvxK0HwvSE,2024-06-13 12:25:59,https://i.ytimg.com/vi/jWvxK0HwvSE/maxresdefault.jpg,13:41,27449,1381,140,5.54,217,3:37,26.43
